facility_aor,detloc,state,facility,facility_id,dataset
HOU (Houston),POLKCTX,,IAH SECURE ADULT DETENTION FACILITY (POLK) (TX),,pogo
LOS (Los Angeles),ADLNTCA,CA,CA - Adelanto Correctional Facility ,adelanto_correctional_facility_ca,icij
LOS (Los Angeles),SACITCA,CA,CA - Santa Ana City Jail ,santa_ana_city_jail_ca,icij
LOS (Los Angeles),TLACYCA,CA,CA - Theo Lacy Facility ,theo_lacy_facility_ca,icij
LOS (Los Angeles),ADLNTCA,,ADELANTO ICE PROCESSING CENTER (CA),,pogo
LOS (Los Angeles),SACITCA,,SANTA ANA CITY JAIL (CA),,pogo
LOS (Los Angeles),TLACYCA,,THEO LACY FACILITY (CA),,pogo
MIA (Miami),BAKERFL,FL,FL - Baker County Sheriff's Office ,baker_county_sheriffs_office_fl,icij
MIA (Miami),KRO,FL,FL - Krome North Service Processing Center ,krome_north_service_processing_center_fl,icij
MIA (Miami),WAKULFL,FL,FL - Wakulla County Jail ,wakulla_county_jail_fl,icij
MIA (Miami),MONROFL,FL,FL - Monroe County Detention Center ,monroe_county_detention_center_fl,icij
MIA (Miami),GLADEFL,FL,FL - Glades County Detention Center ,glades_county_detention_center_fl,icij
MIA (Miami),GLADEF2,FL,FL - Glades County Detention Center Female ,glades_county_detention_center_female_fl,icij
MIA (Miami),BAKERFL,,BAKER COUNTY SHERIFF'S OFFICE (FL),,pogo
MIA (Miami),GLADEFL,,GLADES COUNTY DETENTION CENTER (FL),,pogo
MIA (Miami),KRO,,KROME NORTH SERVICE PROCESSING CENTER (FL),,pogo
MIA (Miami),MONROFL,,MONROE COUNTY DETENTION CENTER (FL),,pogo
MIA (Miami),GLADEF2,,GLADES COUNTY DETENTION CENTER FEMALE (FL),,pogo
MIA (Miami),WAKULFL,,WAKULLA COUNTY JAIL (FL),,pogo
NEW (Newark),ESSEXNJ,NJ,NJ - Essex County Jail ,essex_county_jail_nj,icij
NEW (Newark),DHDFNJ,NJ,NJ - Delaney Hall Detention Facility ,delaney_hall_detention_facility_nj,icij
NEW (Newark),ELZICDF,NJ,NJ - Elizabeth Contract Detention Facility ,elizabeth_contract_detention_facility_nj,icij
NEW (Newark),HUDSONJ,,HUDSON COUNTY CORRECTIONAL CENTER (NJ),,pogo
NEW (Newark),ESSEXNJ,,ESSEX COUNTY CORRECTIONAL FACILITY (NJ),,pogo
NEW (Newark),ELZICDF,,ELIZABETH CONTRACT DETENTION FACILITY (NJ),,pogo
NOL (New Orleans),ETOWAAL,AL,AL - Etowah County Jail ,etowah_county_jail_alabama_al,icij
NOL (New Orleans),DEKALAL,AL,AL - Dekalb County Detention Center ,dekalb_county_detention_center_al,icij
NOL (New Orleans),JENADLA,LA,LA - Jena/lasalle Detention Facility ,jena/lasalle_detention_facility_la,icij
NOL (New Orleans),BASILLA,LA,LA - South Louisiana Detention Center (basile),south_louisiana_detention_center_basile_la,icij
NOL (New Orleans),TENSALA,LA,LA - Tensas Parish Detention Center ,tensas_parish_detention_center_la,icij
NOL (New Orleans),PINEPLA,LA,LA - Pine Prairie Correctional Center ,pine_prairie_correctional_center_la,icij
NOL (New Orleans),JENADLA,,LASALLE ICE PROCESSING CENTER (JENA) (LA),,pogo
NOL (New Orleans),ETOWAAL,,ETOWAH COUNTY JAIL (ALABAMA) (AL),,pogo
NOL (New Orleans),PINEPLA,,PINE PRAIRIE ICE PROCESSING CENTER (LA),,pogo
NOL (New Orleans),TENSALA,,TENSAS PARISH DETENTION CENTER (LA),,pogo
NYC (New York City),HUDSONJ,NJ,NJ - Hudson County Correctional Center ,hudson_county_correctional_center_nj,icij
NYC (New York City),BERGENJ,NJ,NJ - Bergen County Jail ,bergen_county_jail_nj,icij
NYC (New York City),ORANGNY,NY,NY - Orange County Jail ,orange_county_jail_ny,icij
NYC (New York City),HUDSONJ,,HUDSON COUNTY CORRECTIONAL CENTER (NJ),,pogo
NYC (New York City),ORANGNY,,ORANGE COUNTY JAIL (NY),,pogo
NYC (New York City),BERGENJ,,BERGEN COUNTY JAIL (NJ),,pogo
PHI (Philadelphia),YORCOPA,PA,PA - York County Prison ,york_county_prison_pa,icij
PHI (Philadelphia),PIKCOPA,PA,PA - Pike County Correctional Facility ,pike_county_correctional_facility_pa,icij
PHI (Philadelphia),BEFAMPA,PA,PA - Berks County Family Shelter ,berks_county_family_shelter_pa,icij
PHI (Philadelphia),CLINTPA,PA,PA - Clinton County Correctional Facility ,clinton_county_correctional_facility_pa,icij
PHI (Philadelphia),CAMBRPA,PA,PA - Cambria County Jail ,cambria_county_jail_pa,icij
PHI (Philadelphia),PIKCOPA,,PIKE COUNTY CORRECTIONAL FACILITY (PA),,pogo
PHI (Philadelphia),YORCOPA,,YORK COUNTY PRISON (PA),,pogo
PHI (Philadelphia),CLINTPA,,CLINTON COUNTY CORRECTIONAL FACILITY (PA),,pogo
PHI (Philadelphia),CAMBRPA,,CAMBRIA COUNTY JAIL (PA),,pogo
PHI (Philadelphia),WVSCENT,,SOUTH CENTRAL REGIONAL JAIL (WV),,pogo
PHO (Phoenix),EAZ,AZ,AZ - Eloy Federal Contract Facility ,eloy_federal_contract_facility_az,icij
PHO (Phoenix),PINALAZ,AZ,AZ - Pinal County Jail ,pinal_county_jail_az,icij
PHO (Phoenix),FLO,AZ,AZ - Florence Service Processing Center ,florence_service_processing_center_az,icij
PHO (Phoenix),CCAFLAZ,AZ,"AZ - Cca, Florence Correctional Center ","cca,_florence_correctional_center_az",icij
PHO (Phoenix),CCADCAZ,AZ,AZ - Cca Central Arizona Detention Center ,cca_central_arizona_detention_center_az,icij
PHO (Phoenix),FSF,AZ,AZ - Florence Staging Facility ,florence_staging_facility_az,icij
PHO (Phoenix),EAZ,,ELOY FEDERAL CONTRACT FACILITY (AZ),,pogo
PHO (Phoenix),CCAFLAZ,,"CCA, FLORENCE CORRECTIONAL CENTER (AZ)",,pogo
PHO (Phoenix),FLO,,FLORENCE SERVICE PROCESSING CENTER (AZ),,pogo
PHO (Phoenix),CCADCAZ,,CCA CENTRAL ARIZONA DETENTION CENTER (AZ),,pogo
PHO (Phoenix),FSF,,FLORENCE STAGING FACILITY (AZ),,pogo
SEA (Seattle),CSCNWWA,WA,WA - Northwest Detention Center ,northwest_detention_center_wa,icij
SEA (Seattle),CSCNWWA,,TACOMA ICE PROCESSING CENTER (NORTHWEST DET CTR) (WA),,pogo
SEA (Seattle),NORCOOR,,NORTHERN OREGON CORRECTIONAL FACILITY (OR),,pogo
SFR (San Francisco),CACTYCA,CA,CA - California City Correctional Center ,california_city_correctional_center_ca,icij
SFR (San Francisco),RIOCCCA,CA,CA - Sacramento County Jail-rio Cosumnes Corr. Center ,sacramento_county_jail_rio_cosumnes_corr_center_ca,icij
SFR (San Francisco),YUBAJCA,CA,CA - Yuba County Jail ,yuba_county_jail_ca,icij
SFR (San Francisco),CACFMES,CA,CA - Mesa Verde Ccf ,mesa_verde_ccf_ca,icij
SFR (San Francisco),YUBAJCA,,YUBA COUNTY JAIL (CA),,pogo
SFR (San Francisco),RIOCCCA,,RIO COSUMNES CORR. CENTER (CA),,pogo
SFR (San Francisco),CACFMES,,MESA VERDE ICE PROCESSING CENTER (CA),,pogo
SFR (San Francisco),BOPHON,,HONOLULU FEDERAL DETENTION CENTER (HI),,pogo
SLC (Salt Lake City),JEFFEID,ID,ID - Jefferson County Jail ,jefferson_county_jail_id,icij
SLC (Salt Lake City),CASCAMT,MT,MT - Cascade County Jail ,cascade_county_jail_mt,icij
SLC (Salt Lake City),HENDENV,NV,NV - Henderson Detention Center ,henderson_detention_center_nv,icij
SLC (Salt Lake City),WASHONV,NV,NV - Washoe County Jail ,washoe_county_jail_nv,icij
SLC (Salt Lake City),NVSDCNV,NV,NV - Nevada Southern Detention Center ,nevada_southern_detention_center_nv,icij
SLC (Salt Lake City),WASHCUT,UT,UT - Washington County Jail ,washington_county_jail_purgatory_correctional_fac_ut,icij
SLC (Salt Lake City),UTAHCUT,UT,UT - Utah County Jail ,utah_county_jail_ut,icij
SLC (Salt Lake City),HENDENV,,HENDERSON DETENTION CENTER (NV),,pogo
SLC (Salt Lake City),UTAHCUT,,UTAH COUNTY JAIL (UT),,pogo
SLC (Salt Lake City),NVSDCNV,,NEVADA SOUTHERN DETENTION CENTER (NV),,pogo
SLC (Salt Lake City),WASHCUT,,WASHINGTON COUNTY JAIL (PURGATORY CORRECTIONAL FAC (UT),,pogo
SLC (Salt Lake City),ELMORID,,ELMORE COUNTY JAIL (ID),,pogo
SLC (Salt Lake City),CASCAMT,,"CASCADE COUNTY JAIL (MON6,(b)7cA) (MT)",,pogo
SLC (Salt Lake City),JEFFEID,,JEFFERSON COUNTY JAIL (ID),,pogo
SNA (San Antonio),STCDFTX,TX,TX - South Texas Detention Complex ,south_texas_detention_complex_tx,icij
SNA (San Antonio),PIC,TX,TX - Port Isabel ,port_isabel_tx,icij
SNA (San Antonio),CBENDTX,TX,TX - Coastal Bend Detention Facility ,coastal_bend_detention_facility_tx,icij
SNA (San Antonio),LRDICDF,TX,TX - Laredo Processing Center ,laredo_processing_center_tx,icij
SNA (San Antonio),STDHOLD,TX,TX - South Texas/pearsall Hold Room ,south_texas_pearsall_hold_room_tx,icij
SNA (San Antonio),BROKSTX,TX,TX - Brooks County Detention Center ,brooks_county_detention_center_tx,icij
SNA (San Antonio),RGRNDTX,TX,TX - Rio Grande Detention Center ,rio_grande_detention_center_tx,icij
SNA San Antonio,STCDFTX,,SOUTH TEXAS ICE PROCESSING CENTER (TX),,pogo
SNA San Antonio,PIC,,PORT ISABEL (TX),,pogo
SNA San Antonio,RGRNDTX,,RIO GRANDE DETENTION CENTER (TX),,pogo
SND (San Diego),SLRDCAZ,AZ,AZ - San Luis Regional Detention Center ,san_luis_regional_detention_center_az,icij
SND (San Diego),CCASDCA,CA,CA - San Diego Contract Detention Facility - CCA (otay),san_diego_contract_detention_facility_cca_otay_ca,icij
SND (San Diego),ECC,CA,CA - El Centro Service Processing Center ,el_centro_service_processing_center_ca,icij
SND (San Diego),IRADFCA,CA,CA - Imperial Regional Detention Facility ,imperial_regional_detention_facility_ca,icij
SND (San Diego),CCASDCA,,OTAY MESA DETENTION CENTER (SAN DIEGO CDF) (CA),,pogo
SND (San Diego),IRADFCA,,IMPERIAL REGIONAL DETENTION FACILITY (CA),,pogo
SPM (Saint Paul),HARDJIA,IA,IA - Hardin County Jail ,hardin_county_jail_ia,icij
SPM (Saint Paul),LINNJIA,IA,IA - Linn County Jail ,linn_county_jail_ia,icij
SPM (Saint Paul),POTTAIA,IA,IA - Pottawattamie County Jail ,pottawattamie_county_jail_ia,icij
SPM (Saint Paul),MARSHIA,IA,IA - Marshall County Jail ,marshall_county_jail_ia,icij
SPM (Saint Paul),POLKJIA,IA,IA - Polk County Jail ,polk_county_jail_ia,icij
SPM (Saint Paul),SHERBMN,MN,MN - Sherburne County Jail ,sherburne_county_jail_mn,icij
SPM (Saint Paul),CARJAMN,MN,MN - Carver County Jail ,carver_county_jail_mn,icij
SPM (Saint Paul),FREEBMN,MN,MN - Freeborn County Adult Detention Center ,freeborn_county_adult_detention_center_mn,icij
SPM (Saint Paul),RAADCMN,MN,MN - Ramsey County Adult Detention Center ,ramsey_county_adult_detention_center_mn,icij
SPM (Saint Paul),DOCORNE,NE,NE - Douglas County Department Of Corrections ,douglas_county_department_of_corrections_ne,icij
SPM (Saint Paul),HASHENE,NE,NE - Hall County Department Of Corrections ,hall_county_department_of_corrections_ne,icij
SPM (Saint Paul),CASSCNE,NE,NE - Cass County Jail ,cass_county_jail_ne,icij
SPM Saint Paul,SHERBMN,,SHERBURNE COUNTY JAIL (MN),,pogo
SPM Saint Paul,FREEBMN,,FREEBORN COUNTY ADULT DETENTION CENTER (MN),,pogo
SPM Saint Paul,MARSHIA,,MARSHALL COUNTY JAIL (IA),,pogo
SPM Saint Paul,CARJAMN,,CARVER COUNTY JAIL (MN),,pogo
SPM Saint Paul,KANDIMN,,KANDIYOHI COUNTY (MN),,pogo
SPM Saint Paul,POLKJIA,,POLK COUNTY JAIL (IA),,pogo
SPM Saint Paul,POTTAIA,,POTTAWATTAMIE COUNTY JAIL (IA),,pogo
WAS (Washington),RAPPSVA,VA,VA - Rappahannock Regional Jail ,rappahannock_regional_jail_va,icij
WAS (Washington),FRMVLVA,VA,VA - Immigration Centers Of America Farmville ,immigration_centers_of_america_farmville_va,icij
WAS (Washington),VPREGVA,VA,VA - Virginia Peninsula Regional Jail ,virginia_peninsula_regional_jail_va,icij
WAS (Washington),FRMVLVA,,IMMIGRATION CENTERS OF AMERICA FARMVILLE (VA),,pogo
WAS (Washington),VPREGVA,,VIRGINIA PENINSULA REGIONAL JAIL (VA),,pogo
,ADLNTCA,CA,CA - Adelanto Correctional Facility ,adelanto_correctional_facility_ca,icij
